title,author_name,rating,ratings,year
Acheron,Sherrilyn Kenyon,4.56,58019,2008
House of Sky and Breath,Sarah J. Maas,4.52,151116,2022
Kiss of Snow,Nalini Singh,4.45,30080,2011
Lord of Shadows,Cassandra Clare,4.44,129104,2017
Kings Rising,C.S. Pacat,4.43,49858,2016
Demon from the Dark,Kresley Cole,4.43,46053,2010
Full Tilt,Emma   Scott,4.42,21057,2016
Reckless,S.C. Stephens,4.41,77124,2013
Lady Luck,Kristen Ashley,4.41,38174,2011
Lothaire,Kresley Cole,4.38,44918,2012
Pleasure of a Dark Prince,Kresley Cole,4.37,43345,2010
The King,J.R. Ward,4.36,52334,2014
The Indigo Spell,Richelle Mead,4.36,99921,2013
Seize the Night,Sherrilyn Kenyon,4.34,46888,2004
Night Play,Sherrilyn Kenyon,4.34,53073,2004
Breathe,Kristen Ashley,4.34,36423,2012
Dark Desires After Dusk,Kresley Cole,4.34,46777,2008
Almost Heaven,Judith McNaught,4.34,26999,1989
Hothouse Flower,Krista Ritchie,4.33,39279,2014
Bright Side,Kim Holden,4.33,45290,2014
Us,Sarina Bowen,4.32,26412,2016
Twisted Lies,Ana Huang,4.32,57535,2022
The Golden Lily,Richelle Mead,4.31,115487,2012
Something Wonderful,Judith McNaught,4.31,28330,1988
Rock Chick Rescue,Kristen Ashley,4.3,36458,2009
Blood Bound,Patricia Briggs,4.3,121647,2007
The Blue Castle,L.M. Montgomery,4.29,36734,1926
Dark Needs at Night's Edge,Kresley Cole,4.29,49180,2008
Sustained,Emma Chase,4.28,29349,2015
Glory in Death,J.D. Robb,4.27,59298,1995
Spell of the Highlander,Karen Marie Moning,4.27,26290,2005
This Side of the Grave,Jeaniene Frost,4.26,61607,2011
Branded by Fire,Nalini Singh,4.26,31242,2009
Addicted for Now,Krista Ritchie,4.26,42708,2013
Twice Tempted,Jeaniene Frost,4.26,41696,2013
Until You,Penelope Douglas,4.25,48336,2013
The Raven King,Maggie Stiefvater,4.25,129859,2016
Saving Grace,Julie Garwood,4.25,26972,1993
Valley of Silence,Nora Roberts,4.24,28563,2006
Honor's Splendour,Julie Garwood,4.23,31123,1987
Beauty from Pain,Georgia Cates,4.22,55542,2013
The Prize,Julie Garwood,4.22,29102,1991
The Dream Thieves,Maggie Stiefvater,4.22,182623,2013
The Winner's Kiss,Marie Rutkoski,4.22,46572,2016
The Obsession,Nora Roberts,4.21,71821,2016
Dance of Thieves,Mary E. Pearson,4.21,70427,2018
Collide,Gail McHugh,4.2,64734,2013
Gentle Rogue,Johanna Lindsey,4.2,21517,1990
The Opportunist,Tarryn Fisher,4.2,51392,2011
The Bird and the Sword,Amy Harmon,4.2,36320,2016
Own the Wind,Kristen Ashley,4.2,47464,2013
Beard in Mind,Penny Reid,4.2,22558,2017
Wild Man,Kristen Ashley,4.19,42456,2011
Smaragdgrün,Kerstin Gier,4.19,88106,2010
By a Thread,Lucy Score,4.19,52857,2020
Under the Whispering Door,T.J. Klune,4.19,102049,2021
Under the Whispering Door,T.J. Klune,4.19,102049,2021
Once and Always,Judith McNaught,4.18,25997,1987
Ruckus,L.J. Shen,4.18,49537,2017
Scandalous,L.J. Shen,4.18,45822,2017
Saphirblau,Kerstin Gier,4.17,97457,2010
Shelter Mountain,Robyn Carr,4.17,37378,2007
The Pagan Stone,Nora Roberts,4.17,30352,2008
Swear on This Life,Renee Carlino,4.16,36950,2016
The Mighty Storm,Samantha Towle,4.16,72206,2012
Dance of the Gods,Nora Roberts,4.16,29877,2006
The Darkest Minds,Alexandra Bracken,4.16,176313,2012
Seduction of a Highland Lass,Maya Banks,4.16,24224,2011
Stay with Me,Jennifer L. Armentrout,4.16,32339,2014
Top Secret,Sarina Bowen,4.15,17678,2019
World After,Susan Ee,4.15,100144,2013
A Not So Meet Cute,Meghan Quinn,4.15,60854,2021
Aristotle and Dante Dive into the Waters of the World,Benjamin Alire Sáenz,4.15,51341,2021
Dear Ava,Ilsa Madden-Mills,4.15,41261,2020
Once Upon a Broken Heart,Stephanie Garber,4.15,58490,2021
The Hollow,Nora Roberts,4.14,31799,2008
First Drop of Crimson,Jeaniene Frost,4.14,56219,2010
A Very Large Expanse of Sea,Tahereh Mafi,4.13,51694,2018
Fixed on You,Laurelin Paige,4.13,54771,2013
Black Hills,Nora Roberts,4.13,38453,2009
Sylvester,Georgette Heyer,4.13,15870,1957
Chasing Fire,Nora Roberts,4.13,38137,2011
Second Chance Summer,Morgan Matson,4.13,50899,2012
Royally Matched,Emma Chase,4.12,22965,2017
Release Me,J. Kenner,4.12,77852,2013
Love Hacked,Penny Reid,4.12,24306,2014
Because of Low,Abbi Glines,4.12,55748,2012
The Darkest Temptation,Danielle Lori,4.12,65357,2020
Destroy Me,Tahereh Mafi,4.11,137383,2012
"It Ain't Me, Babe",Tillie Cole,4.1,43938,2014
The Game Plan,Kristen Callihan,4.1,29269,2015
The Stopover,T.L. Swan,4.1,83232,2019
Call Me Irresistible,Susan Elizabeth Phillips,4.1,23057,2010
Finding the Dream,Nora Roberts,4.1,21944,1997
Malibu Rising,Taylor Jenkins Reid,4.09,595597,2021
Until November,Aurora Rose Reynolds,4.09,50523,2013
Fallen Crest High,Tijan,4.09,54947,2012
These Old Shades,Georgette Heyer,4.09,18068,1926
Love Irresistibly,Julie James,4.09,17950,2013
Flowers from the Storm,Laura Kinsale,4.09,14924,1992
Arabella,Georgette Heyer,4.08,18588,1949
How to Walk Away,Katherine Center,4.08,67507,2018
Ain't She Sweet?,Susan Elizabeth Phillips,4.08,23538,2004
The Iron Daughter,Julie Kagawa,4.08,124451,2010
The Scorpio Races,Maggie Stiefvater,4.08,105997,2011
The Fastest Way to Fall,Denise  Williams,4.07,13463,2021
The Summer of Broken Rules,K.L. Walther,4.07,28866,2021
Slippery Creatures,K.J. Charles,4.07,7845,2020
Wildest Dreams,Kristen Ashley,4.07,31819,2011
Beautiful Secret,Christina Lauren,4.06,32632,2015
Shadow Spell,Nora Roberts,4.06,37196,2014
Mr. Perfect,Linda Howard,4.06,34063,2000
Love Only Once,Johanna Lindsey,4.05,19449,1985
Transcendence,Shay Savage,4.05,20945,2014
Sweet Temptation,Cora Reilly,4.05,47534,2020
Garden Spells,Sarah Addison Allen,4.05,94698,2007
Starcrossed,Josephine Angelini,4.05,71063,2011
Hero,Samantha Young,4.05,32391,2015
A Prince on Paper,Alyssa Cole,4.04,5598,2019
How to Marry a Marquis,Julia Quinn,4.04,20497,1999
Daring to Dream,Nora Roberts,4.04,25394,1996
Good Boy,Sarina Bowen,4.04,20456,2017
Magic Study,Maria V. Snyder,4.04,76628,2006
Bittersweet,Sarina Bowen,4.04,19508,2016
One for the Money,Janet Evanovich,4.04,520424,1994
Falling into You,Jasinda Wilder,4.03,53083,2013
The Baller,Vi Keeland,4.03,44153,2016
Saint Anything,Sarah Dessen,4.03,60475,2015
The Proposition,Katie Ashley,4.02,50566,2012
The 5th Wave,Rick Yancey,4.02,433565,2013
Worth Any Price,Lisa Kleypas,4.02,19683,2003
Guilty Pleasures,Laurell K. Hamilton,4.02,142203,1993
10 Blind Dates,Ashley Elston,4.02,20195,2019
The Bridgertons: Happily Ever After,Julia Quinn,4.02,29594,2013
Bitten,Kelley Armstrong,4.02,99541,2001
Kushiel's Dart,Jacqueline Carey,4.01,77268,2001
The Soldier's Scoundrel,Cat Sebastian,4.01,6225,2016
If This Gets Out,Sophie Gonzales,4.01,16385,2021
Naked,Raine Miller,4.01,73497,2012
The Price of Salt,Patricia Highsmith,4.0,58301,1952
The Unexpected Everything,Morgan Matson,4.0,38823,2016
Spin the Dawn,Elizabeth Lim,4.0,44639,2019
I Capture the Castle,Dodie Smith,4.0,95848,1948
Forever My Girl,Heidi McLaughlin,4.0,51233,2012
Float Plan,Trish Doller,4.0,21703,2021
Leaving Paradise,Simone Elkeles,4.0,42404,2007
Leo,Mia Sheridan,4.0,38850,2013
Changeless,Gail Carriger,3.99,44786,2010
The Best Thing,Mariana Zapata,3.99,27936,2019
Midnight Bayou,Nora Roberts,3.99,33186,2001
The Villa,Nora Roberts,3.99,28231,2001
Lord of the Fading Lands,C.L. Wilson,3.99,20804,2007
Rapture,Lauren Kate,3.99,112876,2012
A Beautiful Wedding,Jamie McGuire,3.99,62556,2013
One of Us Is Lying,Karen M. McManus,3.99,603338,2017
Wicked,Jennifer L. Armentrout,3.99,44787,2014
History Is All You Left Me,Adam Silvera,3.98,60787,2017
Stalking Jack the Ripper,Kerri Maniscalco,3.98,111531,2016
The Silver Linings Playbook,Matthew Quick,3.98,154784,2008
Warprize,Elizabeth Vaughan,3.97,18725,2005
Crash,Nicole  Williams,3.97,60399,2012
Hands Down,Mariana Zapata,3.96,32373,2020
The Age of Innocence,Edith Wharton,3.96,158108,1920
Lady Sophia's Lover,Lisa Kleypas,3.96,19157,2002
Too Late,Colleen Hoover,3.95,90978,2016
Agnes and the Hitman,Jennifer Crusie,3.95,19791,2007
American Queen,Sierra Simone,3.95,28416,2016
Far From the Madding Crowd,Thomas Hardy,3.95,142383,1874
Blurred Lines,Lauren Layne,3.94,24337,2015
Sins & Needles,Karina Halle,3.94,22475,2013
King's Cage,Victoria Aveyard,3.94,200495,2017
Something Blue,Emily Giffin,3.94,213771,2005
Big Rock,Lauren Blakely,3.93,32326,2016
Rosaline Palmer Takes the Cake,Alexis  Hall,3.93,8614,2021
The Best Man,Kristan Higgins,3.93,27147,2013
Master of Crows,Grace Draven,3.93,16671,2009
The Queer Principles of Kit Webb,Cat Sebastian,3.93,5949,2021
Lady Isabella's Scandalous Marriage,Jennifer Ashley,3.92,16893,2010
Someone Like You,Sarah Dessen,3.92,101491,1998
Faking It,Jennifer Crusie,3.92,18934,2002
One Week Girlfriend,Monica  Murphy,3.92,52570,2013
The Day of the Duchess,Sarah MacLean,3.92,14031,2017
Dragon Actually,G.A. Aiken,3.92,28733,2004
Hex Hall,Rachel Hawkins,3.92,140304,2010
To Catch an Heiress,Julia Quinn,3.91,17815,1998
The Hooker and the Hermit,L.H. Cosway,3.91,26872,2015
Anna Dressed in Blood,Kendare Blake,3.91,103192,2011
The Prince,Kiera Cass,3.91,76240,2013
The Perfect Play,Jaci Burton,3.9,38713,2011
A Thousand Pieces of You,Claudia Gray,3.9,55547,2014
A Quick Bite,Lynsay Sands,3.9,42772,2005
Dumplin',Julie   Murphy,3.9,83838,2015
Hooked,Emily McIntire,3.9,57684,2021
Just One Year,Gayle Forman,3.89,42605,2013
The Falling in Love Montage,Ciara Smyth,3.89,18347,2020
Lolita,Vladimir Nabokov,3.88,763469,1955
The Lover's Dictionary,David Levithan,3.88,44871,2011
The Unwanted Wife,Natasha Anders,3.87,39577,2012
A Girl Like Her,Talia Hibbert,3.87,8220,2018
Unveiled,Courtney Milan,3.86,9105,2011
Twenties Girl,Sophie Kinsella,3.85,161930,2009
Everything Leads to You,Nina LaCour,3.85,32061,2014
Uglies,Scott Westerfeld,3.85,622785,2005
"To Sir, with Love",Lauren Layne,3.85,18958,2021
Wrong,Jana Aston,3.84,43621,2015
Battle Royal,Lucy  Parker,3.84,8793,2021
Catching Jordan,Miranda Kenneally,3.84,61749,2011
Beautiful Darkness,Kami Garcia,3.83,132770,2010
First Comes Scandal,Julia Quinn,3.83,22463,2020
The Sisterhood of the Traveling Pants,Ann Brashares,3.82,672829,2001
Crave,Tracy Wolff,3.81,97338,2020
Conversations with Friends,Sally Rooney,3.81,338938,2017
Just Haven't Met You Yet,Sophie Cousens,3.81,35118,2021
Anyone But You,Jennifer Crusie,3.81,20167,1996
My Not So Perfect Life,Sophie Kinsella,3.8,111635,2017
Firelight,Kristen Callihan,3.77,16432,2012
Once and for All,Sarah Dessen,3.76,33164,2017
Christmas Eve at Friday Harbor,Lisa Kleypas,3.76,19147,2010
Beauty and the Blacksmith,Tessa Dare,3.76,11041,2013
The Legacy,Elle Kennedy,3.76,51832,2021
By the Book,Jasmine Guillory,3.76,16655,2022
Intercepted,Alexa  Martin,3.75,11474,2018
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,3.75,14222,2022
A Lot Like Adiós,Alexis Daria,3.75,9457,2021
Accidentally Engaged,Farah Heron,3.74,10617,2021
Fight or Flight,Samantha Young,3.73,21971,2018
Let's Talk About Love,Claire Kann,3.73,9914,2018
Hate to Want You,Alisha Rai,3.72,6516,2017
Husband Material,Alexis  Hall,3.71,12169,2022
The Secret History of the Pink Carnation,Lauren Willig,3.69,22581,2004
Tempting the Best Man,J. Lynn,3.69,33510,2012
Much Ado About You,Samantha Young,3.67,15445,2021
Opposite of Always,Justin A. Reynolds,3.67,22288,2019
The Ugly Duchess,Eloisa James,3.65,13514,2012
The Geography of You and Me,Jennifer E. Smith,3.65,33598,2014
Meet Me in the Margins,Melissa    Ferguson,3.64,17452,2022
Love Story,Erich Segal,3.64,57475,1970
The Holiday Swap,Maggie Knox,3.61,36104,2021
"Eat, Pray, Love",Elizabeth Gilbert,3.6,1638005,2006
Bridget Jones: The Edge of Reason,Helen Fielding,3.6,107531,1999
Once Upon a Winter's Eve,Tessa Dare,3.59,11582,2011
Wintersong,S. Jae-Jones,3.54,29627,2017
Waiting for Tom Hanks,Kerry Winfrey,3.51,23413,2019
To Love and to Loathe,Martha Waters,3.51,11074,2021
Lady Chatterley's Lover,D.H. Lawrence,3.51,111798,1928
Shades of Milk and Honey,Mary Robinette Kowal,3.49,15908,2010
Wedding Night,Sophie Kinsella,3.45,90221,2013
